"","lower","r","upper","p"
"Vacc-AMn",-0.384004061187384,0.439632116038704,0.873650783258838,0.275744374029136
"PL-AMn",-0.507961047160945,0.306379219517745,0.831527695206528,0.460475712478087
"IL-AMn",-0.628940054836541,0.13601377455603,0.767158248216087,0.748101992167245
"OA-AMn",-0.643709852676379,0.111573248981956,0.756748598649696,0.792529836351992
"AU-AMn",-0.599512485482204,0.182083462253178,0.785916061533252,0.666064534576469
"RS-AMn",-0.0931760097734928,0.654468405550863,0.930163016758088,0.0782542252102585
"AA-AMn",-0.181749470294388,0.599733712544649,0.916906978935222,0.116044610876565
"TeAA-AMn",-0.854768688387314,-0.377440211080815,0.445804073227224,0.356640215113106
"Prh-AMn",-0.840029801639091,-0.331713350552408,0.48673317412144,0.422155973300898
"Ech-AMn",-0.756738786691445,-0.111550574153772,0.64372329906724,0.792571299944612
"aOn-AMn",-0.872193091542363,-0.347142120726061,0.549588390423491,0.445531006446449
"TT-AMn",-0.815473997618637,-0.260489249981957,0.544049198398703,0.533227155235132
"DPA-AMn",-0.598500180656502,0.18360946648478,0.786518940356636,0.663391399356097
"PC-AMn",-0.914634305668036,-0.590638619344502,0.195333479481735,0.123155808814093
"CCA-AMn",-0.908184973346678,-0.565269413353158,0.231694329667077,0.144252609578815
"PAA-AMn",-0.951552170627612,-0.74932932018027,-0.0946174315221422,0.0323457440052024
"CA1-AMn",-0.0143011621501435,0.69739991280704,0.940080682306279,0.0545008408469178
"CA2-AMn",-0.569416465166572,0.225898953152425,0.802781247559316,0.59062848908269
"CA3-AMn",-0.016531933026947,0.696252057315845,0.93982075240583,0.0550704109903601
"DG-AMn",-0.909488122744875,-0.570343739838988,0.224595368266905,0.139884225481681
"FC-AMn",-0.341948201454098,0.477874039484611,0.884646703314984,0.231052057417764
"IG-AMn",-0.303551277544423,0.5102708047194,0.893620879235724,0.196347433264148
"lpEC-AMn",-0.824736840210116,-0.286664834810265,0.523822914572707,0.491223962829646
"Sub-AMn",-0.899357712147637,-0.531566951019849,0.276783937073091,0.175148157875994
"proSb-AMn",-0.499236887487542,0.406735046982859,0.887849256813677,0.365173914205023
"Clst-AMn",-0.468479334326926,0.352593379203044,0.846854332053009,0.391637717850049
"dEPn-AMn",-0.755680107666237,-0.109107972819104,0.645169059202921,0.797040354101167
"vEPn-AMn",-0.839543080413326,-0.330242986073023,0.487992217907104,0.424341965390359
"LAn-AMn",-0.915241921879765,-0.593062224930258,0.191742929867109,0.121237553167639
"BLA-AMn",-0.89916010036545,-0.530825565685149,0.277737355015749,0.175864448238858
"BMe-AMn",-0.932122754124509,-0.662813070065674,0.0785461087422051,0.0732383938028518
"PAn-AMn",-0.91665660081153,-0.528240920270007,0.373324039162274,0.222920122167784
"DLS-AMn",-0.593352221482335,0.191311890755018,0.789544500933157,0.649946677204348
"DMS-AMn",-0.376824923446517,0.446378640233149,0.87562340148875,0.267572584734061
"NACC.S-AMn",-0.93109592039814,-0.65843239973248,0.0862663416932251,0.075847253033919
"NACC.C-AMn",-0.814064417478144,-0.256576223169719,0.546994596556957,0.539616054994851
"FStr-AMn",-0.863026891189761,-0.404120567557966,0.420219436385715,0.3207299280174
"OT-AMn",-0.979663080470399,-0.888044868956466,-0.490012607414139,0.0032201335918339
"LSN-AMn",-0.818059455353861,-0.267714246637268,0.538558218709591,0.521504254809861
"SFn-AMn",-0.853430208438675,-0.373189252878095,0.449759898089349,0.362523417678902
"aAA-AMn",-0.954159645490323,-0.761490327992944,-0.122610267829907,0.0281418936638323
