"","lower","r","upper","p"
"LHA-VMHn",-0.0600842765615007,0.72581473716779,0.956220953527907,0.0648036121592586
"LPO-VMHn",-0.813073772931287,-0.154795960697649,0.67720406603868,0.740347323136815
"PSTN-VMHn",-0.553741754063685,0.341880375688516,0.870757043175832,0.452921470430191
"STN-VMHn",-0.963715573791033,-0.768076729486669,-0.0356234545969556,0.0437126648095258
"ZI-VMHn",-0.903343995743265,-0.470040757898609,0.438085657405618,0.28718098330039
"FF-VMHn",-0.901017687557357,-0.332837608403444,0.655891973690492,0.519179607902396
"TN-VMHn",-0.467564952012726,0.440646294682245,0.896287344063718,0.32239397925151
"reSN-VMHn",-0.561667716535617,0.459217777490927,0.925762697288414,0.359593478291637
"cSN-VMHn",0.302865835190366,0.89455154602042,0.988487391076441,0.0160928041422655
"VTA-VMHn",0.36180497467566,0.907036059696185,0.989909653115214,0.0125617304343167
"PAG-VMHn",-0.883225532517995,-0.253044276699938,0.702856211853687,0.628534975355048
"SCO-VMHn",-0.967960139314404,-0.792792320197378,-0.0986006284357606,0.0334560910368583
"PreCN-VMHn",-0.933664176228679,-0.608312975934725,0.267104268563956,0.147236263171458
"APTN-VMHn",0.469230138187655,0.903152487582426,0.985765529798742,0.0053181715746697
"FP-PHn",-0.871110535075073,-0.43101579611254,0.39303033497556,0.286356884999136
"PL-PHn",-0.887569822091364,-0.488306363139644,0.329875493936521,0.219556157723121
"IL-PHn",-0.922511324050137,-0.622517707391968,0.146358509993068,0.0992751154546841
"dACC-PHn",-0.830331623305307,-0.30287393335558,0.510822296886511,0.465884906880625
"Vacc-PHn",-0.831806847616911,-0.307199376742114,0.507288975489549,0.459213768719035
"OA-PHn",-0.912842429323708,-0.583525217956592,0.205751635937224,0.128883839902427
"AU-PHn",-0.975563858106526,-0.866721842455709,-0.416316428982213,0.00534272969904125
"M2-PHn",-0.918635376576535,-0.606705948603144,0.171130107724367,0.110754555471358
"M1-PHn",-0.91444976484796,-0.589903694749845,0.196418116231422,0.12374084064563
"S1-PHn",-0.933033676081906,-0.666714731170019,0.0715943606848434,0.0709598424234407
"SS-PHn",-0.925109404138377,-0.633255365118975,0.12896795382018,0.0918873344266607
"GA-PHn",-0.959995395618808,-0.789208242760033,-0.190452195166103,0.0198696010597481
"AuA-PHn",-0.887325603033107,-0.487430378509392,0.330899616853674,0.220509809783563
"RS-PHn",-0.831952799165186,-0.30762849674823,0.506936941088946,0.458554057698234
