"","lower","r","upper","p"
"FStr-Gpe",-0.429312750821344,0.394795808548544,0.86016827312915,0.333079178472098
"OT-Gpe",-0.668312414671037,0.06872685194178,0.737674251758652,0.871542356427565
"MGCn-Gpe",0.545897192053839,0.903148054473527,0.982521032616829,0.00210946507642103
"Gpe-Gpe",NA,1,NA,0
"Gpi-Gpe",0.71167146756037,0.943289064475247,0.989939225556597,0.000436800302782192
"SbInn-Gpe",0.695375864373461,0.939622150094735,0.989272046483904,0.000525649303814389
"MSn-Gpe",0.0431872529022587,0.725772818459623,0.946417248039732,0.0415332765111716
"DBn-Gpe",-0.388045251744755,0.435793119145023,0.872521891990336,0.280448502602376
"TnS-Gpe",-0.229479076034331,0.632961854452761,0.938620078954006,0.127064840784179
"BNST-Gpe",-0.818363332927349,-0.170187629458359,0.668553020173769,0.715246372912515
"VALCT-Gpe",0.393799181310818,0.859861005485464,0.974228592366869,0.00617755643266883
"VMT-Gpe",-0.201225690951433,0.586630433937918,0.913626200969245,0.126365423154183
"VPLT-Gpe",0.548287803579181,0.903774996085943,0.982638864417892,0.00206977164353383
"VPMT-Gpe",-0.209450875690463,0.580969940403469,0.912195639470695,0.130977114487791
"PTTn-Gpe",-0.926295897781141,-0.572790361145173,0.317006913496762,0.178926484336118
"MGC-Gpe",-0.891434751173301,-0.502277360359444,0.313277346234591,0.204636643494773
"dLGC-Gpe",-0.915759011185696,-0.595129353511091,0.188663807046325,0.119614828830099
"LPT-Gpe",-0.906625805273069,-0.559232086861417,0.240031377735887,0.149546780379029
"PCT-Gpe",0.113598129950571,0.75762364410947,0.953333738378449,0.0294395968130178
"PlnT-Gpe",-0.94632239669409,-0.725342500450425,-0.0422802364663148,0.0417142237704172
"EnT-Gpe",-0.863603731123606,-0.406013845726758,0.418352705994246,0.318249392082697
"AVT-Gpe",0.0423500017013641,0.725375618302296,0.946329697933116,0.0417002808751752
"AMn-Gpe",-0.563211481397651,0.234549376265109,0.806005272942503,0.57608292402008
"IADT-Gpe",-0.527539381922719,0.281944280582521,0.823087431277506,0.498701961223141
"IMDT-Gpe",-0.226955446572789,0.568663465474753,0.909057344440863,0.141322511100395
"MDT-Gpe",-0.10176316165164,0.64948410652808,0.928984915846735,0.0813433269327962
"SMT-Gpe",0.678723667809488,0.935816141579006,0.988577362350672,0.000629612521273569
"pRE-Gpe",-0.80870186551086,-0.24185481711468,0.557900235100643,0.563895646117591
"PVT-Gpe",-0.698484462348204,0.0121868920128214,0.710756009265802,0.977151839876786
